postaja;datum;tpov;tmin;tmax
355;01.01.1993;-5.1;-6.6;-2.2
355;01.02.1993;-7.3;-9.3;-6.4
355;01.03.1993;-6.7;-9;-5.2
355;01.04.1993;-8.6;-12.3;-3.3
355;01.05.1993;-11.8;-15.8;-4.9
355;01.06.1993;-8.5;-17.2;-5.2
355;01.07.1993;-3;-7.5;-0.5
355;01.08.1993;1.2;-5.5;4.6
355;01.09.1993;1.8;0.1;4
355;01.10.1993;-0.7;-3.8;4.9
355;01.11.1993;6.7;-4.3;11.2
355;01.12.1993;8.8;5.7;14
355;01.13.1993;4.3;1;6.4
355;01.14.1993;4;-0.9;13.4
355;01.15.1993;4.3;-1.7;11
355;01.16.1993;2.4;-1.2;11.1
355;01.17.1993;2.2;-2.1;11.4
355;01.18.1993;1.7;-2.6;9.5
355;01.19.1993;0.1;-2.7;6
355;01.20.1993;0.6;-2.9;7.2
355;01.21.1993;4;-0.5;12.4
355;01.22.1993;1;-2.9;8.7
355;01.23.1993;5.1;0.1;11.9
355;01.24.1993;7.3;0.1;10.5
355;01.25.1993;5.7;2.7;10.2
355;01.26.1993;2.2;0.4;5.8
355;01.27.1993;1.8;-2.7;8.7
355;01.28.1993;1.2;-0.8;3.9
355;01.29.1993;0.5;-1;2.7
355;01.30.1993;-3.5;-5.1;0.3
355;01.31.1993;-5;-10;1.1
355;02.01.1993;-4.8;-10.1;0.6
355;02.02.1993;-3.6;-9.7;3.4
355;02.03.1993;-1.4;-7;7.7
355;02.04.1993;-0.1;-7;8.8
355;02.05.1993;-1.6;-6;6.1
355;02.06.1993;1;-7;6.3
355;02.07.1993;2.5;-1.6;5.4
355;02.08.1993;1.3;-2.5;7.4
355;02.09.1993;-1.1;-4.7;5.1
355;02.10.1993;-1.2;-6.2;5.8
355;02.11.1993;-0.4;-6.2;6.7
355;02.12.1993;-1.4;-5.1;1.9
355;02.13.1993;-1.2;-5.1;4.8
355;02.14.1993;0.1;-1;0.8
355;02.15.1993;0.8;-0.5;2.2
355;02.16.1993;-1.4;-4;2.2
355;02.17.1993;-2.4;-7.9;0.8
355;02.18.1993;1.4;-1.3;5
355;02.19.1993;2.6;-3.6;6.6
355;02.20.1993;0.7;-3.9;7.5
355;02.21.1993;2.1;-2.5;7.6
355;02.22.1993;-2.1;-3.5;2
355;02.23.1993;-2.6;-7.1;0.9
355;02.24.1993;0.7;-2.2;2.4
355;02.25.1993;-0.5;-1.3;1.7
355;02.26.1993;-0.8;-4.2;4.4
355;02.27.1993;2.2;-6.4;8.9
355;02.28.1993;0.8;-4.9;8.6
355;03.01.1993;1.4;-3.2;3.7
355;03.02.1993;0.1;-0.3;2.4
355;03.03.1993;-0.2;-0.7;0.9
355;03.04.1993;-2.8;-5.6;-0.3
355;03.05.1993;-4.6;-6;-1.1
355;03.06.1993;-1.9;-9.4;3
355;03.07.1993;0.8;-2.9;3.9
355;03.08.1993;1.3;0;3.3
355;03.09.1993;-0.1;-1.8;5
355;03.10.1993;0.8;-5.6;8.9
355;03.11.1993;2.4;-2.3;9.5
355;03.12.1993;5;-3.5;12.3
355;03.13.1993;3.5;-2.4;12.1
355;03.14.1993;5.7;-1.9;14.1
355;03.15.1993;5.8;-1.8;14.6
355;03.16.1993;6.1;-1.4;16.9
355;03.17.1993;9.5;0.9;14.9
355;03.18.1993;12.3;4.2;22.5
355;03.19.1993;11.6;5.6;19.3
355;03.20.1993;9.5;-0.6;20.3
355;03.21.1993;14.5;1;23.9
355;03.22.1993;13.3;3.6;21.2
355;03.23.1993;14.2;7.9;21.2
355;03.24.1993;6.3;4.9;13.2
355;03.25.1993;4.7;3.3;7.7
355;03.26.1993;3.5;2.4;6.1
355;03.27.1993;2.8;0.5;5.2
355;03.28.1993;3.2;1.1;5.2
355;03.29.1993;1.6;-0.6;7.8
355;03.30.1993;2.2;-5;8
355;03.31.1993;7.1;-3.1;13.7
355;04.01.1993;7.8;4.3;13.1
355;04.02.1993;4.6;-0.5;9.5
355;04.03.1993;4.7;-0.5;8.6
355;04.04.1993;6.3;3.9;10.9
355;04.05.1993;6.8;2.8;13.8
355;04.06.1993;6.5;-0.8;14.9
355;04.07.1993;9.5;2.1;15.9
355;04.08.1993;7.4;2.6;13.9
355;04.09.1993;6.8;-0.6;13.5
355;04.10.1993;6.9;-1.1;11.6
355;04.11.1993;4.5;3.9;8.5
355;04.12.1993;4.9;3.8;5.9
355;04.13.1993;9.2;3.6;15.6
355;04.14.1993;10.9;5.3;16.6
355;04.15.1993;8.3;6;10.8
355;04.16.1993;10.6;6.6;15.5
355;04.17.1993;9;1.9;14.4
355;04.18.1993;8.5;-0.7;15.9
355;04.19.1993;11.6;6.9;17.4
355;04.20.1993;9.4;7.9;13.9
355;04.21.1993;14.3;3;21.3
355;04.22.1993;15.6;6.9;23.3
355;04.23.1993;15.2;5;24.3
355;04.24.1993;16.4;5;24.3
355;04.25.1993;16.8;5.9;24.3
